id,name,open,n_seats,park
53,(閉)神田東口,,0,0
104,相模原上溝,,37,32
108,堺石津,,38,27
110,名古屋名駅,,21,0
111,宇都宮簗瀬,,37,23
112,千葉行徳,,37,17
114,富山上飯野,,37,18
115,神奈川座間,,37,28
116,町田鶴川,,37,28
117,明石二見,,37,25
122,金沢新神田,,37,18
123,愛知勝川インター,,40,17
125,岐阜芥見,,39,22
127,滋賀栗東インター,,36,42
128,愛知岡崎北,,37,19
129,(閉)三重津南,,0,0
136,長野七瀬,,37,28
137,札幌西区西町,,37,23
138,東京平和島,,28,0
140,大阪枚方,,37,20
141,高知インター,,37,22
142,(閉)旭川永山,,0,0
144,(閉)神奈川本厚木,,0,0
145,埼玉上尾,,37,25
146,愛知岡崎インター,,37,28
147,横浜長津田,,37,24
150,三重鈴鹿,,37,53
151,(閉)東京仙川,,0,0
152,山形荒楯,,37,28
154,兵庫姫路西,,37,28
158,川崎溝の口,,41,0
159,徳島川内,,37,22
160,茨城ひたちなか市毛,,37,41
161,(閉)豊橋神ノ輪,,0,0
162,札幌すすきの,,28,0
163,(閉)札幌美園,,0,0
166,山梨甲府,,37,23
167,(閉)東京昭島,,0,0
170,静岡富士,,39,27
171,名古屋鳴海,,37,26
172,埼玉朝霞台,,32,0
174,神奈川厚木船子,,37,22
175,東京武蔵村山,,37,23
176,埼玉所沢北中,,37,21
178,(閉)東京蒲田東,,0,0
180,川中島,,39,25
182,(閉)札幌石山通,,0,0
183,愛知小牧南インター,,39,128
184,札幌手稲前田,,39,共同
185,富山インター,,52,38
186,金沢久安,,39,25
187,千歳,,39,40
188,神奈川大和,,37,71
189,東大阪中央大通,,40,46
192,栃木小山城南,,39,48
193,宇都宮長岡,,39,69
195,兵庫東加古川,,34,29
196,金沢神谷内,,39,28
197,大宮中丸,,30,31
198,(閉)名古屋錦,,0,0
199,(閉)西千葉,,0,0
201,神奈川平塚大神,,30,35
202,湘南藤沢石川,,40,16
203,八王子南大沢,,40,24
204,徳島沖浜,,40,23
